setup	msprime_seed	slim_burnin_seed	slim_demography_seed	deviating_pop	opt_of_dev_pop	opt_of_p6	opt_of_UK	w	fitness_w_dev_pop	fitness_w_UK	h2	2lm	strong_frac	frac_h2									
109	1187113369	552792739588767	616387669462711	4	1	0	0	5	5	5	0.25	1	0	0									
110	1187113369	552792739588767	232043973635882	5	1	0	0	5	5	5	0.25	1	0	0									
111	1187113369	552792739588767	862431772518903	3	1	0.78	2	5	5	5	0.25	1	0	0									
112	1187113369	552792739588767	936998508172110	4	1	0.22	2	5	5	5	0.25	1	0	0									
113	1187113369	552792739588767	250149381579831	5	1	0	2	5	5	5	0.25	1	0	0									
114	2145218781	836729354225099	862431772518903	-1	0	0	0	5	5	5	0.25	1	0	0									
115	2145218781	836729354225099	936998508172110	3	1	0.78	0.42	5	5	5	0.25	1	0	0									
116	2145218781	836729354225099	250149381579831	4	1	0.22	0.12	5	5	5	0.25	1	0	0									
117	2145218781	836729354225099	64181807916611	5	1	0	0.46	5	5	5	0.25	1	0	0									
118	2145218781	836729354225099	41083379182964	-1	0	0	2	5	5	5	0.25	1	0	0									
119	2145218781	836729354225099	414434391306713	-1	0	2	0.88	5	5	5	0.25	1	0	0									
120	2145218781	836729354225099	507417337968946	3	1	1	1	5	5	5	0.25	1	0	0									
121	2145218781	836729354225099	910605002194643	4	1	1	1	5	5	5	0.25	1	0	0									
122	2145218781	836729354225099	804687725612894	5	1	0	1	5	5	5	0.25	1	0	0									
123	2145218781	836729354225099	888010168448090	3	1	0	0	5	5	5	0.25	1	0	0									
124	2145218781	836729354225099	100953798042610	4	1	0	0	5	5	5	0.25	1	0	0									
125	2145218781	836729354225099	492837590631098	5	1	0	0	5	5	5	0.25	1	0	0									
126	2145218781	836729354225099	407605805899948	3	1	0.78	2	5	5	5	0.25	1	0	0									
127	2145218781	836729354225099	616387669462711	4	1	0.22	2	5	5	5	0.25	1	0	0									
128	2145218781	836729354225099	250149381579831	5	1	0	2	5	5	5	0.25	1	0	0									
129	2374226738	998945339117199	822421664372086	-1	0	0	0	5	5	5	0.25	1	0	0									
130	2374226738	998945339117199	873060667654499	3	1	0.78	0.42	5	5	5	0.25	1	0	0									
131	2374226738	998945339117199	836729354225099	4	1	0.22	0.12	5	5	5	0.25	1	0	0									
132	2374226738	998945339117199	407605805899948	5	1	0	0.46	5	5	5	0.25	1	0	0									
133	2374226738	998945339117199	616387669462711	-1	0	0	2	5	5	5	0.25	1	0	0									
134	2374226738	998945339117199	232043973635882	-1	0	2	0.88	5	5	5	0.25	1	0	0									
135	2374226738	998945339117199	862431772518903	3	1	1	1	5	5	5	0.25	1	0	0									
136	2374226738	998945339117199	936998508172110	4	1	1	1	5	5	5	0.25	1	0	0									
137	2374226738	998945339117199	250149381579831	5	1	0	1	5	5	5	0.25	1	0	0									
138	2374226738	998945339117199	64181807916611	3	1	0	0	5	5	5	0.25	1	0	0									
139	2374226738	998945339117199	41083379182964	4	1	0	0	5	5	5	0.25	1	0	0									
140	2374226738	998945339117199	414434391306713	5	1	0	0	5	5	5	0.25	1	0	0									
141	2374226738	998945339117199	507417337968946	3	1	0.78	2	5	5	5	0.25	1	0	0									
142	2374226738	998945339117199	910605002194643	4	1	0.22	2	5	5	5	0.25	1	0	0									
143	2374226738	998945339117199	804687725612894	5	1	0	2	5	5	5	0.25	1	0	0									
144	4290437562	100953798042610	822421664372086	-1	0	0	0	5	5	5	0.25	1	0	0									
145	4290437562	100953798042610	873060667654499	3	1	0.78	0.42	5	5	5	0.25	1	0	0									
146	4290437562	100953798042610	836729354225099	4	1	0.22	0.12	5	5	5	0.25	1	0	0									
147	4290437562	100953798042610	407605805899948	5	1	0	0.46	5	5	5	0.25	1	0	0									
148	4290437562	100953798042610	616387669462711	-1	0	0	2	5	5	5	0.25	1	0	0									
149	4290437562	100953798042610	862431772518903	-1	0	2	0.88	5	5	5	0.25	1	0	0									
150	4290437562	100953798042610	936998508172110	3	1	1	1	5	5	5	0.25	1	0	0									
151	4290437562	100953798042610	250149381579831	4	1	1	1	5	5	5	0.25	1	0	0									
152	4290437562	100953798042610	64181807916611	5	1	0	1	5	5	5	0.25	1	0	0									
153	4290437562	100953798042610	41083379182964	3	1	0	0	5	5	5	0.25	1	0	0									
154	4290437562	100953798042610	414434391306713	4	1	0	0	5	5	5	0.25	1	0	0									
155	4290437562	100953798042610	507417337968946	5	1	0	0	5	5	5	0.25	1	0	0									
156	4290437562	100953798042610	910605002194643	3	1	0.78	2	5	5	5	0.25	1	0	0									
157	4290437562	100953798042610	804687725612894	4	1	0.22	2	5	5	5	0.25	1	0	0									
158	4290437562	100953798042610	888010168448090	5	1	0	2	5	5	5	0.25	1	0	0									
159	4290437562	910605002194643	552792739588767	-1	0	0	0	5	5	5	0.5	1	0	0									
160	4290437562	910605002194643	998945339117199	3	1	0.78	0.42	5	5	5	0.5	1	0	0									
161	4290437562	910605002194643	822421664372086	4	1	0.22	0.12	5	5	5	0.5	1	0	0									
162	4290437562	910605002194643	873060667654499	5	1	0	0.46	5	5	5	0.5	1	0	0									
163	4290437562	910605002194643	836729354225099	-1	0	0	2	5	5	5	0.5	1	0	0									
164	4290437562	910605002194643	407605805899948	-1	0	2	0.88	5	5	5	0.5	1	0	0									
165	4290437562	910605002194643	616387669462711	3	1	1	1	5	5	5	0.5	1	0	0									
166	4290437562	910605002194643	232043973635882	4	1	1	1	5	5	5	0.5	1	0	0									
167	4290437562	910605002194643	862431772518903	5	1	0	1	5	5	5	0.5	1	0	0									
168	4290437562	910605002194643	936998508172110	3	1	0	0	5	5	5	0.5	1	0	0									
169	4290437562	910605002194643	250149381579831	4	1	0	0	5	5	5	0.5	1	0	0									
170	4290437562	910605002194643	64181807916611	5	1	0	0	5	5	5	0.5	1	0	0									
171	4290437562	910605002194643	41083379182964	3	1	0.78	2	5	5	5	0.5	1	0	0									
172	4290437562	910605002194643	414434391306713	4	1	0.22	2	5	5	5	0.5	1	0	0									
173	4290437562	910605002194643	507417337968946	5	1	0	2	5	5	5	0.5	1	0	0									
174	2374226738	123864607419819	552792739588767	-1	0	0	0	5	5	5	0.5	1	0	0									
175	2374226738	123864607419819	998945339117199	3	1	0.78	0.42	5	5	5	0.5	1	0	0									
176	2374226738	123864607419819	822421664372086	4	1	0.22	0.12	5	5	5	0.5	1	0	0									
177	2374226738	123864607419819	873060667654499	5	1	0	0.46	5	5	5	0.5	1	0	0									
178	2374226738	123864607419819	836729354225099	-1	0	0	2	5	5	5	0.5	1	0	0									
179	2374226738	123864607419819	407605805899948	-1	0	2	0.88	5	5	5	0.5	1	0	0									
180	2374226738	123864607419819	616387669462711	3	1	1	1	5	5	5	0.5	1	0	0									
181	2374226738	123864607419819	232043973635882	4	1	1	1	5	5	5	0.5	1	0	0									
182	2374226738	123864607419819	862431772518903	5	1	0	1	5	5	5	0.5	1	0	0									
183	2374226738	123864607419819	936998508172110	3	1	0	0	5	5	5	0.5	1	0	0									
184	2374226738	123864607419819	250149381579831	4	1	0	0	5	5	5	0.5	1	0	0									
185	2374226738	123864607419819	64181807916611	5	1	0	0	5	5	5	0.5	1	0	0									
186	2374226738	123864607419819	41083379182964	3	1	0.78	2	5	5	5	0.5	1	0	0									
187	2374226738	123864607419819	414434391306713	4	1	0.22	2	5	5	5	0.5	1	0	0									
188	2374226738	123864607419819	507417337968946	5	1	0	2	5	5	5	0.5	1	0	0									
189	2145218781	388604606036097	862667288165540	-1	0	0	0	5	5	5	0.5	1	0	0									
190	2145218781	388604606036097	703802048927173	3	1	0.78	0.42	5	5	5	0.5	1	0	0									
191	2145218781	388604606036097	832214732887223	4	1	0.22	0.12	5	5	5	0.5	1	0	0									
192	2145218781	388604606036097	468694172799587	5	1	0	0.46	5	5	5	0.5	1	0	0									
193	2145218781	388604606036097	511878706747666	-1	0	0	2	5	5	5	0.5	1	0	0									
194	2145218781	388604606036097	804183301050216	-1	0	2	0.88	5	5	5	0.5	1	0	0									
195	2145218781	388604606036097	671576278051362	3	1	1	1	5	5	5	0.5	1	0	0									
196	2145218781	388604606036097	217178422724828	4	1	1	1	5	5	5	0.5	1	0	0									
197	2145218781	388604606036097	318451262079179	5	1	0	1	5	5	5	0.5	1	0	0									
198	2145218781	388604606036097	821723166853190	3	1	0	0	5	5	5	0.5	1	0	0									
199	2145218781	388604606036097	326248373137787	4	1	0	0	5	5	5	0.5	1	0	0									
200	2145218781	388604606036097	628445787820965	5	1	0	0	5	5	5	0.5	1	0	0									
201	2145218781	388604606036097	825101563706994	3	1	0.78	2	5	5	5	0.5	1	0	0									
202	2145218781	388604606036097	460915470728651	4	1	0.22	2	5	5	5	0.5	1	0	0									
203	2145218781	388604606036097	391296549234539	5	1	0	2	5	5	5	0.5	1	0	0									
204	1187113369	34822707297280	358338216086850	-1	0	0	0	5	5	5	0.5	1	0	0									
205	1187113369	34822707297280	123616149416193	3	1	0.78	0.42	5	5	5	0.5	1	0	0									
206	1187113369	34822707297280	851567405974492	4	1	0.22	0.12	5	5	5	0.5	1	0	0									
207	1187113369	34822707297280	904259119182825	5	1	0	0.46	5	5	5	0.5	1	0	0									
208	1187113369	34822707297280	477038500364870	-1	0	0	2	5	5	5	0.5	1	0	0									
209	1187113369	34822707297280	588702287757769	-1	0	2	0.88	5	5	5	0.5	1	0	0									
210	1187113369	34822707297280	975203815614805	3	1	1	1	5	5	5	0.5	1	0	0									
211	1187113369	34822707297280	709760583238676	4	1	1	1	5	5	5	0.5	1	0	0									
212	1187113369	34822707297280	816850606817752	5	1	0	1	5	5	5	0.5	1	0	0									
213	1187113369	34822707297280	664021554170176	3	1	0	0	5	5	5	0.5	1	0	0									
214	1187113369	34822707297280	795865700813010	4	1	0	0	5	5	5	0.5	1	0	0									
215	1187113369	34822707297280	102732406230643	5	1	0	0	5	5	5	0.5	1	0	0									
216	1187113369	34822707297280	231425684411079	3	1	0.78	2	5	5	5	0.5	1	0	0									
217	1187113369	34822707297280	851084466790780	4	1	0.22	2	5	5	5	0.5	1	0	0									
218	1187113369	34822707297280	63361142529174	5	1	0	2	5	5	5	0.5	1	0	0									
219	1162971104	195733093423769	741775893606246	-1	0	0	0	5	5	5	0.5	1	0	0									
220	1162971104	195733093423769	182112155947834	3	1	0.78	0.42	5	5	5	0.5	1	0	0									
221	1162971104	195733093423769	844349425518885	4	1	0.22	0.12	5	5	5	0.5	1	0	0									
222	1162971104	195733093423769	865556667093188	5	1	0	0.46	5	5	5	0.5	1	0	0									
223	1162971104	195733093423769	287978944368660	-1	0	0	2	5	5	5	0.5	1	0	0									
224	1162971104	195733093423769	423474174225703	-1	0	2	0.88	5	5	5	0.5	1	0	0									
225	1162971104	195733093423769	242352274479344	3	1	1	1	5	5	5	0.5	1	0	0									
226	1162971104	195733093423769	585389104671776	4	1	1	1	5	5	5	0.5	1	0	0									
227	1162971104	195733093423769	289986338466406	5	1	0	1	5	5	5	0.5	1	0	0									
228	1162971104	195733093423769	303447806509212	3	1	0	0	5	5	5	0.5	1	0	0									
229	1162971104	195733093423769	674196931533516	4	1	0	0	5	5	5	0.5	1	0	0									
230	1162971104	195733093423769	413375386968255	5	1	0	0	5	5	5	0.5	1	0	0									
231	1162971104	195733093423769	763461424270645	3	1	0.78	2	5	5	5	0.5	1	0	0									
232	1162971104	195733093423769	360045950859785	4	1	0.22	2	5	5	5	0.5	1	0	0									
233	1162971104	195733093423769	527847216697410	5	1	0	2	5	5	5	0.5	1	0	0									
234	1162971104	128680838039145	805217977613211	-1	0	0	2	5	5	5	0.25	1	0	0									
235	1162971104	128680838039145	264970597811043	-1	0	2	0.88	5	5	5	0.25	1	0	0									
